[Name]
Momentum and Mass


[Data]
"Accumulated Timestep" "RMS U-Mom"
1 3.46957495e-05
2 7.58395356e-04
3 3.69961082e-04
4 2.23246709e-04
5 1.32220419e-04
6 9.78029420e-05
7 7.94423686e-05
8 6.89456720e-05
