[Name]
Momentum and Mass


[Data]
"Accumulated Timestep" "RMS U-Mom"
1 4.98091249e-05
2 8.56757804e-04
3 4.19819611e-04
4 2.29309066e-04
5 1.41773766e-04
6 1.09087763e-04
7 8.99627194e-05
8 7.69206890e-05
9 6.55513650e-05
10 5.63856956e-05
